Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1944,Alaska,3,1,
1945,Alaska,3,1,
1946,Alaska,3,1,
1947,Alaska,3,1,
1948,Alaska,4,1,
1949,Alaska,5,3,
1950,Alaska,5,4,
1951,Alaska,6,5,
1952,Alaska,7,9,
1953,Alaska,8,10,
1954,Alaska,9,13,
1955,Alaska,10,14,
1956,Alaska,12,14,
1957,Alaska,13,16,
1958,Alaska,13,19,
1959,Alaska,13,24,
1960,Alaska,9,32,
1961,Alaska,10,34,
1962,Alaska,9,40,
1963,Alaska,9,48,
1964,Alaska,10,51,
1965,Alaska,10,53,
1966,Alaska,10,55,0
1967,Alaska,10,54,0
1968,Alaska,10,55,0
1969,Alaska,9,59,0
1970,Alaska,10,62,1
1971,Alaska,10,65,0
1972,Alaska,10,70,0
1973,Alaska,10,73,0
1974,Alaska,10,81,0
1975,Alaska,11,88,2
1976,Alaska,12,98,1
1977,Alaska,12,106,0
1978,Alaska,12,112,0
1979,Alaska,12,109,0
1980,Alaska,12,113,0
1981,Alaska,12,114,0
1982,Alaska,14,115,1
1983,Alaska,14,121,0
1984,Alaska,15,133,1
1985,Alaska,15,142,0
1986,Alaska,15,141,1
1987,Alaska,11,133,0
1988,Alaska,10,120,0
1989,Alaska,7,107,0
1990,Alaska,8,111,1
1991,Alaska,8,106,0
1992,Alaska,8,107,0
1993,Alaska,8,108,0
1994,Alaska,8,113,0
1995,Alaska,8,115,0
1996,Alaska,8,119,0
1997,Alaska,6,125,0
1998,Alaska,6,126,0
1999,Alaska,6,122,0
2000,Alaska,6,120,0
2001,Alaska,6,118,0
2002,Alaska,6,114,0
2003,Alaska,5,114,0
2004,Alaska,5,117,0
2005,Alaska,5,118,0
2006,Alaska,5,118,0
2007,Alaska,4,118,0
2008,Alaska,5,119,0
2009,Alaska,4,119,0
2010,Alaska,4,119,0
2011,Alaska,4,118,0
2012,Alaska,4,118,0
2013,Alaska,4,117,0
2014,Alaska,4,122,0
2015,Alaska,4,120,0
2016,Alaska,4,120,0
2017,Alaska,4,117,0
2018,Alaska,4,113,0
2019,Alaska,4,112,0
1934,American Samoa,0,0,
1935,American Samoa,0,0,
1936,American Samoa,0,0,
1937,American Samoa,0,0,
1938,American Samoa,0,0,
1939,American Samoa,0,0,
1940,American Samoa,0,0,
1941,American Samoa,0,0,
1942,American Samoa,0,0,
1943,American Samoa,0,0,
1944,American Samoa,0,0,
1945,American Samoa,0,0,
1946,American Samoa,0,0,
1947,American Samoa,0,0,
1948,American Samoa,0,0,
1949,American Samoa,0,0,
1950,American Samoa,0,0,
1951,American Samoa,0,0,
1952,American Samoa,0,0,
1953,American Samoa,0,0,
1954,American Samoa,0,0,
1955,American Samoa,0,0,
1956,American Samoa,0,0,
1957,American Samoa,0,0,
1958,American Samoa,0,0,
1959,American Samoa,0,0,
1960,American Samoa,0,0,
1961,American Samoa,0,0,
1962,American Samoa,0,0,
1963,American Samoa,0,0,
1964,American Samoa,0,0,
1965,American Samoa,0,2,
1966,American Samoa,0,2,0
1967,American Samoa,0,2,0
1968,American Samoa,0,2,0
1969,American Samoa,0,3,0
1970,American Samoa,0,3,0
1971,American Samoa,0,3,0
1972,American Samoa,0,3,0
1973,American Samoa,0,3,0
1974,American Samoa,0,5,0
1975,American Samoa,0,5,0
1976,American Samoa,0,5,0
1977,American Samoa,0,3,0
1978,American Samoa,0,3,0
1979,American Samoa,0,2,0
1980,American Samoa,0,2,0
1981,American Samoa,0,2,0
1982,American Samoa,1,2,0
1983,American Samoa,1,2,0
1984,American Samoa,1,2,0
1985,American Samoa,1,2,0
1986,American Samoa,1,2,0
1987,American Samoa,1,2,0
1988,American Samoa,1,2,0
1989,American Samoa,1,2,0
1990,American Samoa,1,2,0
1991,American Samoa,1,2,0
1992,American Samoa,1,3,0
1993,American Samoa,1,4,0
1994,American Samoa,1,4,0
1995,American Samoa,1,4,0
1996,American Samoa,1,4,0
1997,American Samoa,1,4,0
1998,American Samoa,1,4,0
1999,American Samoa,1,4,0
2000,American Samoa,1,4,0
2001,American Samoa,1,4,0
2002,American Samoa,1,4,0
2003,American Samoa,1,4,0
2004,American Samoa,1,4,0
2005,American Samoa,1,5,0
2006,American Samoa,1,7,0
2007,American Samoa,1,6,0
2008,American Samoa,1,6,0
2009,American Samoa,1,6,0
2010,American Samoa,1,6,0
2011,American Samoa,,6,0
2012,American Samoa,,5,
2013,American Samoa,,5,
2014,American Samoa,,4,
2015,American Samoa,,4,
2016,American Samoa,,4,
2017,American Samoa,,4,
2018,American Samoa,,4,
2019,American Samoa,,3,
1934,Arizona,15,0,
1935,Arizona,15,21,
1936,Arizona,14,24,
1937,Arizona,12,25,
1938,Arizona,12,26,
1939,Arizona,12,26,
1940,Arizona,12,26,
1941,Arizona,12,26,
1942,Arizona,12,27,
1943,Arizona,12,30,
1944,Arizona,12,35,
1945,Arizona,11,34,
1946,Arizona,10,35,
1947,Arizona,10,40,
1948,Arizona,10,44,
1949,Arizona,9,51,
1950,Arizona,10,55,
1951,Arizona,12,67,
1952,Arizona,13,70,
1953,Arizona,13,73,
1954,Arizona,12,82,
1955,Arizona,10,93,
1956,Arizona,9,111,
1957,Arizona,6,126,
1958,Arizona,7,138,
1959,Arizona,8,146,
1960,Arizona,9,171,
1961,Arizona,11,190,
1962,Arizona,10,202,
1963,Arizona,12,223,
1964,Arizona,15,239,
1965,Arizona,17,250,
1966,Arizona,17,261,1
1967,Arizona,17,265,0
1968,Arizona,13,278,0
1969,Arizona,12,299,1
1970,Arizona,12,323,0
1971,Arizona,13,347,1
1972,Arizona,15,374,2
1973,Arizona,15,405,0
1974,Arizona,17,425,2
1975,Arizona,15,443,0
1976,Arizona,16,458,1
1977,Arizona,17,465,1
1978,Arizona,20,484,3
1979,Arizona,22,505,2
1980,Arizona,24,537,2
1981,Arizona,26,580,3
1982,Arizona,30,600,6
1983,Arizona,38,621,8
1984,Arizona,46,660,9
1985,Arizona,52,696,6
1986,Arizona,54,724,3
1987,Arizona,50,734,2
1988,Arizona,47,698,0
1989,Arizona,43,683,1
1990,Arizona,38,797,0
1991,Arizona,41,838,3
1992,Arizona,38,748,0
1993,Arizona,37,749,0
1994,Arizona,34,772,0
1995,Arizona,34,723,3
1996,Arizona,35,814,4
1997,Arizona,41,839,7
1998,Arizona,43,853,6
1999,Arizona,44,862,3
2000,Arizona,45,842,7
2001,Arizona,43,834,4
2002,Arizona,43,855,3
2003,Arizona,46,899,6
2004,Arizona,45,972,1
2005,Arizona,48,1047,4
2006,Arizona,52,1106,8
2007,Arizona,55,1200,9
2008,Arizona,55,1314,3
2009,Arizona,42,1289,0
2010,Arizona,39,1269,0
2011,Arizona,30,1256,0
2012,Arizona,28,1252,0
2013,Arizona,23,1265,0
2014,Arizona,21,1243,0
2015,Arizona,17,1208,0
2016,Arizona,16,1183,0
2017,Arizona,15,1154,0
2018,Arizona,15,1129,0
2019,Arizona,14,1105,0
1934,Arkansas,213,0,
1935,Arkansas,213,6,
1936,Arkansas,211,9,
1937,Arkansas,212,15,
1938,Arkansas,209,15,
1939,Arkansas,208,15,
1940,Arkansas,207,15,
1941,Arkansas,208,15,
1942,Arkansas,207,16,
1943,Arkansas,204,21,
1944,Arkansas,206,21,
1945,Arkansas,208,22,
1946,Arkansas,213,20,
1947,Arkansas,215,19,
1948,Arkansas,219,19,
1949,Arkansas,221,21,
1950,Arkansas,222,19,
1951,Arkansas,224,21,
1952,Arkansas,224,22,
1953,Arkansas,224,22,
1954,Arkansas,225,23,
1955,Arkansas,228,25,
1956,Arkansas,231,27,
1957,Arkansas,232,29,
1958,Arkansas,232,35,
1959,Arkansas,231,41,
1960,Arkansas,232,46,
1961,Arkansas,233,56,
1962,Arkansas,237,67,
1963,Arkansas,238,77,
1964,Arkansas,241,90,
1965,Arkansas,242,108,
1966,Arkansas,243,119,2
1967,Arkansas,245,130,3
1968,Arkansas,245,141,0
1969,Arkansas,246,155,1
1970,Arkansas,248,165,1
1971,Arkansas,251,179,3
1972,Arkansas,251,193,0
1973,Arkansas,254,227,3
1974,Arkansas,258,281,4
1975,Arkansas,258,318,1
1976,Arkansas,257,341,0
1977,Arkansas,259,353,2
1978,Arkansas,259,372,0
1979,Arkansas,258,393,0
1980,Arkansas,260,415,1
1981,Arkansas,262,420,2
1982,Arkansas,260,411,1
1983,Arkansas,259,428,2
1984,Arkansas,258,439,0
1985,Arkansas,259,451,1
1986,Arkansas,256,464,0
1987,Arkansas,257,466,1
1988,Arkansas,256,482,0
1989,Arkansas,257,499,1
1990,Arkansas,256,562,1
1991,Arkansas,262,602,4
1992,Arkansas,259,622,1
1993,Arkansas,257,624,0
1994,Arkansas,257,674,1
1995,Arkansas,243,710,1
1996,Arkansas,234,742,1
1997,Arkansas,226,791,7
1998,Arkansas,202,857,2
1999,Arkansas,195,938,2
2000,Arkansas,185,988,3
2001,Arkansas,178,997,0
2002,Arkansas,169,1029,0
2003,Arkansas,163,1111,0
2004,Arkansas,161,1164,0
2005,Arkansas,154,1207,2
2006,Arkansas,149,1280,0
2007,Arkansas,143,1308,0
2008,Arkansas,137,1316,0
2009,Arkansas,128,1318,0
2010,Arkansas,124,1302,0
2011,Arkansas,122,1321,0
2012,Arkansas,121,1309,0
2013,Arkansas,115,1303,0
2014,Arkansas,106,1263,0
2015,Arkansas,103,1275,0
2016,Arkansas,100,1256,0
2017,Arkansas,96,1260,0
2018,Arkansas,92,1268,0
2019,Arkansas,86,1290,0
1934,California,254,0,
1935,California,245,797,
1936,California,218,837,
1937,California,206,853,
1938,California,203,850,
1939,California,200,849,
1940,California,198,845,
1941,California,193,846,
1942,California,191,831,
1943,California,188,863,
1944,California,186,880,
1945,California,188,887,
1946,California,187,877,
1947,California,189,895,
1948,California,191,916,
1949,California,195,948,
1950,California,191,978,
1951,California,190,1003,
1952,California,189,1034,
1953,California,197,1056,
1954,California,162,1119,
1955,California,140,1209,
1956,California,132,1302,
1957,California,122,1384,
1958,California,119,1462,
1959,California,110,1552,
1960,California,112,1671,
1961,California,117,1787,
1962,California,123,1963,
1963,California,149,2122,
1964,California,194,2273,
1965,California,193,2419,
1966,California,187,2532,1
1967,California,172,2687,0
1968,California,156,2788,0
1969,California,148,2895,2
1970,California,144,3028,6
1971,California,144,3171,7
1972,California,156,3254,17
1973,California,174,3385,24
1974,California,186,3484,18
1975,California,200,3578,17
1976,California,210,3688,13
1977,California,220,3769,14
1978,California,229,3897,13
1979,California,242,4081,24
1980,California,281,4279,46
1981,California,312,4477,42
1982,California,361,4506,53
1983,California,407,4612,61
1984,California,453,4621,44
1985,California,481,4820,19
1986,California,484,4730,9
1987,California,484,4681,10
1988,California,473,4499,10
1989,California,479,4545,10
1990,California,482,4892,15
1991,California,480,5038,10
1992,California,456,4501,1
1993,California,425,4254,2
1994,California,404,4305,1
1995,California,383,4631,3
1996,California,360,4454,3
1997,California,336,4326,9
1998,California,335,4408,18
1999,California,325,4467,10
2000,California,304,4433,8
2001,California,301,4448,16
2002,California,286,4481,8
2003,California,281,4551,17
2004,California,263,4791,12
2005,California,274,4986,26
2006,California,279,5535,23
2007,California,288,5840,21
2008,California,288,6887,9
2009,California,271,6886,2
2010,California,251,6837,1
2011,California,235,6941,0
2012,California,222,6970,0
2013,California,206,6995,0
2014,California,197,6968,0
2015,California,182,6846,0
2016,California,167,6772,0
2017,California,155,6704,1
2018,California,143,6624,2
2019,California,137,6517,0
1934,Colorado,,0,
1935,Colorado,141,0,
1936,Colorado,138,0,
1937,Colorado,138,0,
1938,Colorado,136,0,
1939,Colorado,137,0,
1940,Colorado,139,0,
1941,Colorado,137,0,
1942,Colorado,135,0,
1943,Colorado,134,5,
1944,Colorado,134,4,
1945,Colorado,133,4,
1946,Colorado,136,1,
1947,Colorado,138,1,
1948,Colorado,138,1,
1949,Colorado,140,1,
1950,Colorado,144,4,
1951,Colorado,147,4,
1952,Colorado,148,5,
1953,Colorado,152,5,
1954,Colorado,152,5,
1955,Colorado,154,5,
1956,Colorado,156,5,
1957,Colorado,157,5,
1958,Colorado,157,6,
1959,Colorado,160,7,
1960,Colorado,162,7,
1961,Colorado,164,7,
1962,Colorado,173,7,
1963,Colorado,194,7,
1964,Colorado,207,8,
1965,Colorado,210,8,
1966,Colorado,215,9,3
1967,Colorado,217,7,3
1968,Colorado,219,10,1
1969,Colorado,223,12,5
1970,Colorado,227,19,3
1971,Colorado,235,29,9
1972,Colorado,243,35,7
1973,Colorado,255,42,12
1974,Colorado,263,50,8
1975,Colorado,277,54,14
1976,Colorado,281,56,6
1977,Colorado,288,64,7
1978,Colorado,299,81,11
1979,Colorado,307,97,9
1980,Colorado,323,111,16
1981,Colorado,340,133,18
1982,Colorado,374,104,32
1983,Colorado,401,111,28
1984,Colorado,447,111,27
1985,Colorado,469,111,12
1986,Colorado,472,114,10
1987,Colorado,462,121,3
1988,Colorado,450,118,3
1989,Colorado,451,119,11
1990,Colorado,446,127,7
1991,Colorado,387,233,1
1992,Colorado,350,267,2
1993,Colorado,322,368,1
1994,Colorado,279,453,0
1995,Colorado,231,513,3
1996,Colorado,223,598,4
1997,Colorado,215,727,5
1998,Colorado,195,817,5
1999,Colorado,189,894,3
2000,Colorado,181,942,2
2001,Colorado,176,995,5
2002,Colorado,169,1042,2
2003,Colorado,169,1071,4
2004,Colorado,166,1151,4
2005,Colorado,161,1236,1
2006,Colorado,153,1305,1
2007,Colorado,148,1416,5
2008,Colorado,142,1490,3
2009,Colorado,135,1503,1
2010,Colorado,107,1519,0
2011,Colorado,99,1527,0
2012,Colorado,94,1490,0
2013,Colorado,88,1471,0
2014,Colorado,88,1464,0
2015,Colorado,82,1434,0
2016,Colorado,79,1391,0
2017,Colorado,76,1359,0
2018,Colorado,71,1354,0
2019,Colorado,67,1340,0
1934,Connecticut,109,0,
1935,Connecticut,105,4,
1936,Connecticut,104,5,
1937,Connecticut,103,7,
1938,Connecticut,103,7,
1939,Connecticut,102,7,
1940,Connecticut,100,8,
1941,Connecticut,100,8,
1942,Connecticut,100,8,
1943,Connecticut,99,9,
1944,Connecticut,99,11,
1945,Connecticut,99,8,
1946,Connecticut,97,10,
1947,Connecticut,98,12,
1948,Connecticut,98,16,
1949,Connecticut,95,36,
1950,Connecticut,92,50,
1951,Connecticut,94,60,
1952,Connecticut,95,68,
1953,Connecticut,94,76,
1954,Connecticut,92,88,
1955,Connecticut,87,103,
1956,Connecticut,85,119,
1957,Connecticut,77,140,
1958,Connecticut,70,160,
1959,Connecticut,63,185,
1960,Connecticut,61,198,
1961,Connecticut,58,219,
1962,Connecticut,58,231,
1963,Connecticut,58,258,
1964,Connecticut,61,286,
1965,Connecticut,64,313,
1966,Connecticut,63,336,0
1967,Connecticut,64,357,1
1968,Connecticut,63,375,1
1969,Connecticut,59,405,0
1970,Connecticut,58,436,1
1971,Connecticut,62,469,5
1972,Connecticut,63,498,2
1973,Connecticut,67,518,4
1974,Connecticut,70,547,5
1975,Connecticut,71,564,1
1976,Connecticut,71,572,2
1977,Connecticut,71,577,1
1978,Connecticut,65,587,1
1979,Connecticut,65,593,1
1980,Connecticut,64,603,0
1981,Connecticut,57,613,0
1982,Connecticut,54,618,1
1983,Connecticut,51,616,0
1984,Connecticut,50,633,2
1985,Connecticut,57,628,9
1986,Connecticut,59,646,4
1987,Connecticut,64,667,9
1988,Connecticut,65,676,6
1989,Connecticut,69,678,7
1990,Connecticut,68,665,1
1991,Connecticut,56,618,1
1992,Connecticut,48,567,0
1993,Connecticut,46,496,0
1994,Connecticut,43,498,1
1995,Connecticut,39,503,1
1996,Connecticut,28,468,0
1997,Connecticut,26,528,0
1998,Connecticut,28,519,4
1999,Connecticut,24,495,2
2000,Connecticut,23,414,0
2001,Connecticut,25,430,3
2002,Connecticut,26,434,2
2003,Connecticut,24,459,0
2004,Connecticut,23,571,1
2005,Connecticut,24,583,1
2006,Connecticut,24,631,2
2007,Connecticut,24,693,0
2008,Connecticut,25,689,2
2009,Connecticut,23,686,0
2010,Connecticut,22,671,1
2011,Connecticut,22,737,0
2012,Connecticut,20,738,0
2013,Connecticut,15,723,0
2014,Connecticut,14,714,0
2015,Connecticut,14,852,0
2016,Connecticut,14,828,0
2017,Connecticut,15,807,0
2018,Connecticut,12,801,0
2019,Connecticut,11,810,0
1934,Delaware,,0,
1935,Delaware,44,12,
1936,Delaware,44,12,
1937,Delaware,44,13,
1938,Delaware,44,13,
1939,Delaware,42,13,
1940,Delaware,42,14,
1941,Delaware,41,13,
1942,Delaware,41,11,
1943,Delaware,40,12,
1944,Delaware,39,13,
1945,Delaware,39,13,
1946,Delaware,38,14,
1947,Delaware,38,14,
1948,Delaware,38,14,
1949,Delaware,37,15,
1950,Delaware,37,19,
1951,Delaware,35,23,
1952,Delaware,34,29,
1953,Delaware,34,32,
1954,Delaware,33,31,
1955,Delaware,29,36,
1956,Delaware,27,38,
1957,Delaware,26,40,
1958,Delaware,26,42,
1959,Delaware,19,51,
1960,Delaware,19,52,
1961,Delaware,19,52,
1962,Delaware,19,56,
1963,Delaware,20,60,
1964,Delaware,20,64,
1965,Delaware,20,65,
1966,Delaware,20,71,0
1967,Delaware,19,74,0
1968,Delaware,19,78,0
1969,Delaware,19,79,0
1970,Delaware,18,87,0
1971,Delaware,18,99,0
1972,Delaware,18,110,0
1973,Delaware,18,118,0
1974,Delaware,17,130,0
1975,Delaware,17,137,0
1976,Delaware,17,142,0
1977,Delaware,17,143,0
1978,Delaware,17,147,0
1979,Delaware,18,147,1
1980,Delaware,18,148,0
1981,Delaware,19,147,1
1982,Delaware,27,150,9
1983,Delaware,29,153,3
1984,Delaware,32,154,3
1985,Delaware,36,157,4
1986,Delaware,42,159,6
1987,Delaware,45,154,4
1988,Delaware,46,157,3
1989,Delaware,48,163,3
1990,Delaware,47,167,1
1991,Delaware,42,184,2
1992,Delaware,40,179,0
1993,Delaware,37,180,1
1994,Delaware,39,184,3
1995,Delaware,41,190,2
1996,Delaware,40,187,2
1997,Delaware,35,185,0
1998,Delaware,35,184,3
1999,Delaware,34,186,2
2000,Delaware,33,172,1
2001,Delaware,34,182,2
2002,Delaware,28,183,0
2003,Delaware,27,188,1
2004,Delaware,27,201,0
2005,Delaware,27,200,1
2006,Delaware,26,198,1
2007,Delaware,25,200,1
2008,Delaware,24,198,0
2009,Delaware,24,202,0
2010,Delaware,21,203,0
2011,Delaware,20,218,0
2012,Delaware,20,222,0
2013,Delaware,21,215,0
2014,Delaware,19,205,0
2015,Delaware,19,199,0
2016,Delaware,19,198,0
2017,Delaware,19,196,0
2018,Delaware,19,193,0
2019,Delaware,18,191,0
1934,District of Columbia,22,0,
1935,District of Columbia,22,30,
1936,District of Columbia,22,30,
1937,District of Columbia,22,30,
1938,District of Columbia,22,30,
1939,District of Columbia,22,30,
1940,District of Columbia,22,30,
1941,District of Columbia,22,30,
1942,District of Columbia,22,30,
1943,District of Columbia,22,33,
1944,District of Columbia,21,34,
1945,District of Columbia,21,34,
1946,District of Columbia,20,35,
1947,District of Columbia,19,38,
1948,District of Columbia,19,39,
1949,District of Columbia,19,41,
1950,District of Columbia,19,45,
1951,District of Columbia,19,47,
1952,District of Columbia,19,48,
1953,District of Columbia,19,51,
1954,District of Columbia,17,54,
1955,District of Columbia,17,54,
1956,District of Columbia,17,54,
1957,District of Columbia,16,57,
1958,District of Columbia,13,60,
1959,District of Columbia,12,64,
1960,District of Columbia,12,65,
1961,District of Columbia,11,69,
1962,District of Columbia,12,72,
1963,District of Columbia,14,76,
1964,District of Columbia,15,84,
1965,District of Columbia,15,88,
1966,District of Columbia,14,94,0
1967,District of Columbia,14,96,0
1968,District of Columbia,14,100,0
1969,District of Columbia,14,100,0
1970,District of Columbia,14,103,0
1971,District of Columbia,14,108,0
1972,District of Columbia,14,112,0
1973,District of Columbia,15,117,1
1974,District of Columbia,16,126,1
1975,District of Columbia,16,130,1
1976,District of Columbia,16,131,0
1977,District of Columbia,16,133,0
1978,District of Columbia,17,138,1
1979,District of Columbia,17,140,0
1980,District of Columbia,17,151,0
1981,District of Columbia,17,159,0
1982,District of Columbia,17,162,1
1983,District of Columbia,19,160,2
1984,District of Columbia,19,160,0
1985,District of Columbia,19,160,0
1986,District of Columbia,20,164,1
1987,District of Columbia,21,165,1
1988,District of Columbia,24,170,3
1989,District of Columbia,25,175,1
1990,District of Columbia,26,169,2
1991,District of Columbia,24,162,0
1992,District of Columbia,20,170,0
1993,District of Columbia,18,173,0
1994,District of Columbia,16,177,0
1995,District of Columbia,13,164,0
1996,District of Columbia,8,175,0
1997,District of Columbia,6,174,0
1998,District of Columbia,7,166,1
1999,District of Columbia,6,166,0
2000,District of Columbia,6,158,0
2001,District of Columbia,4,155,0
2002,District of Columbia,4,153,0
2003,District of Columbia,4,154,0
2004,District of Columbia,5,159,1
2005,District of Columbia,6,165,1
2006,District of Columbia,5,189,0
2007,District of Columbia,6,190,0
2008,District of Columbia,5,195,0
2009,District of Columbia,5,231,0
2010,District of Columbia,5,232,0
2011,District of Columbia,4,236,0
2012,District of Columbia,4,232,0
2013,District of Columbia,4,231,0
2014,District of Columbia,4,226,0
2015,District of Columbia,4,224,0
2016,District of Columbia,3,220,0
2017,District of Columbia,3,212,0
2018,District of Columbia,3,208,0
2019,District of Columbia,3,211,0
1934,Federated States of Micronesia,0,0,
1935,Federated States of Micronesia,0,0,
1936,Federated States of Micronesia,0,0,
1937,Federated States of Micronesia,0,0,
1938,Federated States of Micronesia,0,0,
1939,Federated States of Micronesia,0,0,
1940,Federated States of Micronesia,0,0,
1941,Federated States of Micronesia,0,0,
1942,Federated States of Micronesia,0,0,
1943,Federated States of Micronesia,0,0,
1944,Federated States of Micronesia,0,0,
1945,Federated States of Micronesia,0,0,
1946,Federated States of Micronesia,0,0,
1947,Federated States of Micronesia,0,0,
1948,Federated States of Micronesia,0,0,
1949,Federated States of Micronesia,0,0,
1950,Federated States of Micronesia,0,0,
1951,Federated States of Micronesia,0,0,
1952,Federated States of Micronesia,0,0,
1953,Federated States of Micronesia,0,0,
1954,Federated States of Micronesia,0,0,
1955,Federated States of Micronesia,0,0,
1956,Federated States of Micronesia,0,0,
1957,Federated States of Micronesia,0,0,
1958,Federated States of Micronesia,0,0,
1959,Federated States of Micronesia,0,0,
1960,Federated States of Micronesia,0,0,
1961,Federated States of Micronesia,0,0,
1962,Federated States of Micronesia,0,0,
1963,Federated States of Micronesia,0,0,
1964,Federated States of Micronesia,0,0,
1965,Federated States of Micronesia,0,24,
1966,Federated States of Micronesia,0,24,0
1967,Federated States of Micronesia,0,24,0
1968,Federated States of Micronesia,0,26,0
1969,Federated States of Micronesia,0,28,0
1970,Federated States of Micronesia,0,27,0
1971,Federated States of Micronesia,0,28,0
1972,Federated States of Micronesia,0,29,0
1973,Federated States of Micronesia,0,28,0
1974,Federated States of Micronesia,0,19,0
1975,Federated States of Micronesia,0,20,0
1976,Federated States of Micronesia,0,20,0
1977,Federated States of Micronesia,0,19,0
1978,Federated States of Micronesia,0,11,0
1979,Federated States of Micronesia,0,11,0
1980,Federated States of Micronesia,0,11,0
1981,Federated States of Micronesia,0,11,0
1982,Federated States of Micronesia,0,12,0
1983,Federated States of Micronesia,0,13,0
1934,Florida,146,0,
1935,Florida,148,0,
1936,Florida,153,0,
1937,Florida,158,0,
1938,Florida,161,0,
1939,Florida,162,0,
1940,Florida,164,1,
1941,Florida,165,1,
1942,Florida,164,2,
1943,Florida,166,13,
1944,Florida,165,18,
1945,Florida,167,12,
1946,Florida,176,2,
1947,Florida,180,2,
1948,Florida,185,3,
1949,Florida,189,4,
1950,Florida,195,6,
1951,Florida,204,9,
1952,Florida,209,10,
1953,Florida,213,12,
1954,Florida,221,12,
1955,Florida,233,12,
1956,Florida,256,12,
1957,Florida,265,13,
1958,Florida,275,13,
1959,Florida,288,14,
1960,Florida,304,14,
1961,Florida,318,15,
1962,Florida,340,16,
1963,Florida,382,16,
1964,Florida,421,17,
1965,Florida,439,18,
1966,Florida,443,19,5
1967,Florida,446,21,5
1968,Florida,455,25,10
1969,Florida,469,29,14
1970,Florida,494,33,25
1971,Florida,534,43,40
1972,Florida,575,60,41
1973,Florida,641,67,65
1974,Florida,711,121,70
1975,Florida,742,196,31
1976,Florida,752,226,12
1977,Florida,675,507,7
1978,Florida,612,743,6
1979,Florida,576,946,8
1980,Florida,556,1184,5
1981,Florida,495,1481,8
1982,Florida,476,1623,29
1983,Florida,460,1799,27
1984,Florida,430,1996,30
1985,Florida,422,2179,38
1986,Florida,419,2397,36
1987,Florida,411,2550,36
1988,Florida,417,2680,31
1989,Florida,431,2866,28
1990,Florida,432,2916,8
1991,Florida,421,3000,2
1992,Florida,407,2602,3
1993,Florida,375,2642,2
1994,Florida,356,2958,2
1995,Florida,333,3179,4
1996,Florida,289,3331,7
1997,Florida,266,3562,9
1998,Florida,250,3694,12
1999,Florida,272,3880,37
2000,Florida,265,3863,16
2001,Florida,261,3879,11
2002,Florida,260,3818,6
2003,Florida,262,3928,10
2004,Florida,256,4121,13
2005,Florida,262,4191,18
2006,Florida,269,4455,21
